benchmark	measure	model	layer	spearman	spearmanp	permutation_test	permutation_testp
dwug_en12	app+apdp	mbert	11	0.218	0.146	0.218	0.158
dwug_en12	apd	mbert	12	0.363	0.013	0.363	0.02
dwug_en12	prt	mbert	12	0.27	0.069	0.27	0.059
dwug_en12	ap+jsd	mbert	12	0.181	0.229	0.181	0.238
dwug_en12	ap+apdp	mbert	12	0.412	0.004	0.412	0.02
dwug_en12	app+jsd	mbert	12	0.325	0.028	0.325	0.059
dwug_en12	app+apdp	mbert	12	0.323	0.028	0.323	0.079
dwug_en12	apd	xlm-r	1	0.064	0.673	0.064	0.693
dwug_en12	prt	xlm-r	1	0.221	0.14	0.221	0.099
dwug_en12	ap+jsd	xlm-r	1	0.032	0.832	0.032	0.97
dwug_en12	ap+apdp	xlm-r	1	0.016	0.915	0.016	0.891
dwug_en12	app+jsd	xlm-r	1	0.138	0.36	0.138	0.416
dwug_en12	app+apdp	xlm-r	1	0.278	0.061	0.278	0.04
dwug_en12	apd	xlm-r	2	0.229	0.127	0.229	0.119
dwug_en12	prt	xlm-r	2	0.382	0.009	0.382	0.04
dwug_en12	ap+jsd	xlm-r	2	-0.128	0.397	-0.128	0.495
dwug_en12	ap+apdp	xlm-r	2	-0.022	0.886	-0.022	0.871
dwug_en12	app+jsd	xlm-r	2	-0.084	0.579	-0.084	0.574
dwug_en12	app+apdp	xlm-r	2	0.065	0.666	0.065	0.495
dwug_en12	apd	xlm-r	3	0.314	0.034	0.314	0.099
dwug_en12	prt	xlm-r	3	0.453	0.002	0.453	0.04
dwug_en12	ap+jsd	xlm-r	3	0.016	0.915	0.016	0.812
dwug_en12	ap+apdp	xlm-r	3	0.132	0.382	0.132	0.317
dwug_en12	app+jsd	xlm-r	3	0.089	0.557	0.089	0.713
dwug_en12	app+apdp	xlm-r	3	0.147	0.33	0.147	0.297
dwug_en12	apd	xlm-r	4	0.4	0.006	0.4	0.02
dwug_en12	prt	xlm-r	4	0.487	0.001	0.487	0.02
dwug_en12	ap+jsd	xlm-r	4	0.087	0.566	0.087	0.594
dwug_en12	ap+apdp	xlm-r	4	0.189	0.209	0.189	0.238
dwug_en12	app+jsd	xlm-r	4	0.419	0.004	0.419	0.02
dwug_en12	app+apdp	xlm-r	4	0.448	0.002	0.448	0.02
dwug_en12	apd	xlm-r	5	0.452	0.002	0.452	0.02
dwug_en12	prt	xlm-r	5	0.476	0.001	0.476	0.02
dwug_en12	ap+jsd	xlm-r	5	0.322	0.029	0.322	0.04
dwug_en12	ap+apdp	xlm-r	5	0.65	0.0	0.65	0.02
dwug_en12	app+jsd	xlm-r	5	0.39	0.007	0.39	0.02
dwug_en12	app+apdp	xlm-r	5	0.393	0.007	0.393	0.02
dwug_en12	apd	xlm-r	6	0.438	0.002	0.438	0.04
dwug_en12	prt	xlm-r	6	0.447	0.002	0.447	0.059
dwug_en12	ap+jsd	xlm-r	6	0.33	0.025	0.33	0.02
dwug_en12	ap+apdp	xlm-r	6	0.564	0.0	0.564	0.02
dwug_en12	app+jsd	xlm-r	6	0.105	0.488	0.105	0.554
dwug_en12	app+apdp	xlm-r	6	0.625	0.0	0.625	0.02
dwug_en12	apd	xlm-r	7	0.395	0.007	0.395	0.02
dwug_en12	prt	xlm-r	7	0.462	0.001	0.462	0.02
dwug_en12	ap+jsd	xlm-r	7	0.321	0.029	0.321	0.059
dwug_en12	ap+apdp	xlm-r	7	0.563	0.0	0.563	0.02
dwug_en12	app+jsd	xlm-r	7	0.243	0.103	0.243	0.099
dwug_en12	app+apdp	xlm-r	7	0.475	0.001	0.475	0.02
dwug_en12	apd	xlm-r	8	0.426	0.003	0.426	0.02
dwug_en12	prt	xlm-r	8	0.464	0.001	0.464	0.02
dwug_en12	ap+jsd	xlm-r	8	0.175	0.243	0.175	0.257
dwug_en12	ap+apdp	xlm-r	8	0.55	0.0	0.55	0.02
dwug_en12	app+jsd	xlm-r	8	0.158	0.295	0.158	0.337
dwug_en12	app+apdp	xlm-r	8	0.411	0.005	0.411	0.02
dwug_en12	apd	xlm-r	9	0.46	0.001	0.46	0.02
dwug_en12	prt	xlm-r	9	0.437	0.002	0.437	0.02
dwug_en12	ap+jsd	xlm-r	9	0.311	0.036	0.311	0.059
dwug_en12	ap+apdp	xlm-r	9	0.653	0.0	0.653	0.02
dwug_en12	app+jsd	xlm-r	9	0.205	0.172	0.205	0.139
dwug_en12	app+apdp	xlm-r	9	0.567	0.0	0.567	0.02
dwug_en12	apd	xlm-r	10	0.511	0.0	0.511	0.02
dwug_en12	prt	xlm-r	10	0.481	0.001	0.481	0.02
dwug_en12	ap+jsd	xlm-r	10	0.289	0.051	0.289	0.059
dwug_en12	ap+apdp	xlm-r	10	0.739	0.0	0.739	0.02
dwug_en12	app+jsd	xlm-r	10	-0.091	0.549	-0.091	0.614
dwug_en12	app+apdp	xlm-r	10	0.587	0.0	0.587	0.02
dwug_en12	apd	xlm-r	11	0.548	0.0	0.548	0.02
dwug_en12	prt	xlm-r	11	0.501	0.0	0.501	0.02
dwug_en12	ap+jsd	xlm-r	11	0.374	0.01	0.374	0.04
dwug_en12	ap+apdp	xlm-r	11	0.758	0.0	0.758	0.02
dwug_en12	app+jsd	xlm-r	11	0.093	0.54	0.093	0.475
dwug_en12	app+apdp	xlm-r	11	0.627	0.0	0.627	0.02
dwug_en12	apd	xlm-r	12	0.444	0.002	0.444	0.02
dwug_en12	prt	xlm-r	12	0.411	0.005	0.411	0.02
dwug_en12	ap+jsd	xlm-r	12	0.278	0.061	0.278	0.119
dwug_en12	ap+apdp	xlm-r	12	0.699	0.0	0.699	0.02
dwug_en12	app+jsd	xlm-r	12	0.418	0.004	0.418	0.02
dwug_en12	app+apdp	xlm-r	12	0.564	0.0	0.564	0.02
dwug_en12	apd	xl-lexeme	tuned	0.886	0.0	0.886	0.02
dwug_en12	prt	xl-lexeme	tuned	0.676	0.0	0.676	0.02
dwug_en12	ap+jsd	xl-lexeme	tuned	0.493	0.001	0.493	0.02
dwug_en12	ap+apdp	xl-lexeme	tuned	0.781	0.0	0.781	0.02
dwug_en12	app+jsd	xl-lexeme	tuned	0.318	0.031	0.318	0.04
dwug_en12	app+apdp	xl-lexeme	tuned	0.652	0.0	0.652	0.02
dwug_sv12	apd	bert	1	0.213	0.164	0.213	0.277
dwug_sv12	prt	bert	1	0.215	0.162	0.215	0.218
dwug_sv12	ap+jsd	bert	1	-0.121	0.434	-0.121	0.396
dwug_sv12	ap+apdp	bert	1	0.175	0.257	0.175	0.178
dwug_sv12	app+jsd	bert	1	-0.139	0.368	-0.139	0.396
dwug_sv12	app+apdp	bert	1	0.12	0.439	0.12	0.396
dwug_sv12	apd	bert	2	0.255	0.095	0.255	0.119
dwug_sv12	prt	bert	2	0.274	0.072	0.274	0.119
dwug_sv12	ap+jsd	bert	2	-0.138	0.371	-0.138	0.337
dwug_sv12	ap+apdp	bert	2	0.168	0.275	0.168	0.257
dwug_sv12	app+jsd	bert	2	-0.205	0.182	-0.205	0.277
dwug_sv12	app+apdp	bert	2	-0.041	0.789	-0.041	0.713
dwug_sv12	apd	bert	3	0.295	0.052	0.295	0.099
dwug_sv12	prt	bert	3	0.301	0.047	0.301	0.099
